SRR32635215	SRR32635214	SRR32635213	SRR32635212	SRR32635211	SRR32635210
TSPAN6	0	0	0	0	0	0
TNMD	0	0	0	0	0	0
DPM1	1698.24709571615	3132.04229289112	2964.8123434477	2875.66773678394	2650.35745509781	3635.80903640653
SCYL3	0	0	0	0	0	0
FIRRM	380.356465632305	486.624955441455	549.112479332752	468.109694836001	462.846418913317	463.657465501338
FGR	0	0	0	1.91455907908385	0	0
CFH	0	0	0	0	0	0
FUCA2	0	0	0	0	0	0
GCLC	178.093328389708	217.139422348378	260.729666445767	257.508196136778	275.011658616456	200.15312372137
NFYA	954.071402087723	681.468812102276	884.900686118967	709.344138800566	679.440568346539	633.512180585987
STPG1	86.5024737892868	92.0903800138211	103.699299154566	84.2405994796894	81.7845128565279	54.1698821080771
NIPAL3	73.7815217614505	36.8361520055284	73.0833155946469	46.9066974375543	60.2149710042568	30.2984086367211
LAS1L	47.0675225029943	83.3660282230381	78.02137745915	50.735815595722	76.3921273934601	33.9709430169297
ENPP4	17.8093328389708	43.6217589539153	60.2443547469386	56.4794928329736	58.4175091832342	41.316011777347
SEMA3F	174.277042781357	71.7335591686607	86.9098888152557	70.8386859261024	69.2022801093697	95.4858938854241
CFTR	0	0	0	0	0	0
ANKIB1	683.115123894809	1092.48271869028	1370.80597358608	1130.54713619901	1367.86844579819	1102.67844765764
CYP51A1	61.0605697336142	536.062948922559	1081.43554832619	248.8926802809	487.112153497122	280.948880085959
KRIT1	0	0	0	0	0	0
RAD52	195.902661228679	133.77339412534	165.918878647306	219.217014555101	204.910647596575	170.772848679701
BAD	90.3187593976377	42.6523865327172	32.5912083057209	39.2484611212189	28.7593891363614	43.1522789674513
LAP3	1545.59567138211	1797.21646890131	1441.91406443492	1370.82430062404	1589.85498069448	1345.06571675141
CD99	839.582833837196	1157.43067091055	1211.80038154908	1189.89846765061	1455.9440750283	1219.28141422926
HS3ST1	0	0	0	0	0	0
AOC1	0	0	0	0	0	0.918133595052155
WNT16	0	0	0	0	0	0
HECW1	8.90466641948541	0.969372421198117	2.9628371187019	9.57279539541925	3.59492364204518	1.83626719010431
MAD1L1	968.064449318342	458.513155226709	401.958235770558	491.084403785007	436.78322250849	384.697976326853
LASP1	1310.25805886714	498.257424495832	412.821971872465	445.134985886995	1013.76846705674	310.329155127628
SNX11	137.386281900632	175.456408236859	143.203794070592	187.626789750217	179.746182102259	193.726188556005
TMEM176A	1.27209520278363	4.84686210599059	0.987612372900633	8.61551585587732	3.59492364204518	3.67253438020862
M6PR	7454.47788831207	6081.84257059699	7846.58030269553	5818.34504133582	6656.00112324665	5680.49255258768
KLHL13	96.6792354115559	54.2848555870946	97.7736249171627	52.6503746748059	86.2781674090843	73.4506876041724
CYP26B1	572.442841252633	393.565203006436	299.246548988892	419.288438319363	378.365713325255	357.153968475288
ICA1	63.6047601391815	50.4073659023021	34.5664330515222	54.5649337538897	63.809894646302	77.123221984381
DBNDD1	66.1489505447488	74.641676432255	53.3310681366342	97.6425130332763	117.73374927698	133.129371282562
ALS2	349.826180765498	491.471817547445	734.783605438071	375.253579500434	589.56747729541	418.668919343783
CASP10	0	0	0.987612372900633	0	0	2.75440078515646
CFLAR	41.9791416918598	101.784104225802	144.191406443492	59.3513314515993	92.5692837826634	88.1408251250069
TFPI	0	0	0	0	0	0
NDUFAF7	284.949325423533	511.828638392606	740.709279675475	427.90395417524	605.744633684613	477.42946942712
RBM5	952.799306884939	892.791999923466	1035.01776679986	936.219389672002	856.490557717264	904.361591126373
MTMR7	3.81628560835089	12.6018414755755	3.95044949160253	5.74367723725155	15.278425478692	44.0704125625034
SLC7A2	30.5302848668071	55.2542280082927	13.8265732206089	20.1028703303804	20.6708109417598	52.3336149179728
ARF5	181.909613998059	84.3354006442362	65.1824166114418	85.1978790192313	70.9997419303923	99.1584282656327
SARM1	45.7954273002107	27.1424277935473	10.863736101907	27.7611066467158	15.278425478692	15.6082711158866
POLDIP2	52.1559033141288	95.9678696986136	65.1824166114418	44.9921383584705	65.6073564673245	44.0704125625034
PLXND1	1344.6046293423	1696.4017370967	1109.08869476741	1144.90632929214	1384.04560218739	1029.22776005347
AK2	0	0	0	0	0	0
CD38	0	0	0	0	0	0
FKBP4	7457.02207871764	8537.26291349182	6138.01089757744	7570.16659869754	7152.9993167594	5807.19498870488
KDM1A	41.9791416918598	47.4992486387077	29.628371187019	38.291181581677	35.9492364204518	34.8890766119819
RBM6	463.042653813241	414.891396272794	466.153040009099	394.399170291273	491.605808049679	314.001689507837
CAMKK1	1.27209520278363	3.87748968479247	26.6655340683171	12.444634014045	10.7847709261355	6.42693516536508
RECQL	880.289880326272	867.588316972315	956.008776967813	758.165395317204	970.629383352199	619.740176660205
VPS50	25.4419040556726	30.0505450571416	38.5168825431247	25.846547567632	26.9619273153389	19.2808054960953
HSPB6	0	0	0	0	0	0
ARHGAP33	7.63257121670178	3.87748968479247	8.8885113561057	1.91455907908385	2.69619273153389	2.75440078515646
NDUFAB1	241.69808852889	345.09658194653	268.630565428972	323.56048436517	287.593891363614	437.031591244826
PDK4	8.90466641948541	10.6630966331793	30.6159835599196	0	5.39238546306777	14.6901375208345
SLC22A16	0	0	0	0	0	0
ZMYND10	5.08838081113452	4.84686210599059	0	0.957279539541925	1.79746182102259	1.83626719010431
ABCB5	0	0	2.9628371187019	0	0.898730910511295	0
ARX	0	0.969372421198117	0.987612372900633	0	3.59492364204518	4.59066797526077
SLC25A13	0	0	0	0	0	0
ST7	109.400187439392	323.770388680171	440.475118313682	275.696507388074	336.125360531224	289.212082441429
CDC27	563.538174833148	729.937433162182	1008.35223273155	795.499297359339	881.655023211581	790.513025339905
SLC4A1	0	0	0	0	0	0
CALCR	53.4279985169125	51.3767383235002	22.7150845767146	129.23273783816	87.1768983195956	272.68567773049
HCCS	560.993984427581	577.745963034078	588.616974248777	548.521176157523	631.807830089441	608.722573519579
DVL2	160.283995550737	157.038332234095	179.745451867915	110.087147047321	133.910905666183	171.690982274753
PRSS22	26.7139992584562	40.7136416903209	27.6531464412177	37.3339020421351	26.0631964048276	22.9533398763039
UPF1	0	0	0	0	0	0
SKAP2	0	0	0	0.957279539541925	0.898730910511295	2.75440078515646
SLC25A5	3203.13572060918	3680.70708328925	3186.03751497744	2969.48113165905	3336.08913981793	3593.57489103413
MCUB	61.0605697336142	340.249719840539	359.49090373583	306.329452653416	466.441342555362	365.417170830758
HOXA11	2.54419040556726	0.969372421198117	1.97522474580127	0.957279539541925	1.79746182102259	1.83626719010431
DHX33	82.6861881809359	76.5804212746513	74.0709279675475	57.4367723725155	58.4175091832342	54.1698821080771
MEOX1	10.176761622269	3.87748968479247	2.9628371187019	6.70095677679347	2.69619273153389	5.50880157031293
THSD7A	0	0	0	0	0	0
LIG3	382.900656037873	242.343105299529	226.163233394245	195.285026066553	186.936029386349	173.527249464857
RPAP3	568.626555644283	1255.33728545156	1393.52105816279	1048.22109579841	1048.81897256668	1079.72510778133
ACSM3	1.27209520278363	0.969372421198117	8.8885113561057	0.957279539541925	1.79746182102259	2.75440078515646
REXO5	34.346570475158	44.5911313751134	25.6779216954165	25.846547567632	36.8479673309631	24.7896070664082
CIAPIN1	40.7070464890762	55.2542280082927	53.3310681366342	26.8038271071739	62.9111637357907	31.2165422317733
SPPL2B	11.4488568250527	3.87748968479247	12.8389608477082	8.61551585587732	8.08857819460166	11.0176031406259
ATOSB	351.098275968282	202.598836030406	335.788206786215	175.182155736172	195.923338491462	135.883772067719
COPZ2	8.90466641948541	19.3874484239623	24.6903093225158	17.2310317117546	12.5822327471581	20.1989390911474
PRKAR2B	17.8093328389708	59.1317176930851	65.1824166114418	45.9494178980124	35.9492364204518	44.0704125625034
MSL3	354.914561576633	459.482527647908	701.20478475945	385.783654435396	523.960120828085	349.808899714871
CREBBP	559.721889224797	287.903609095841	164.931266274406	296.756657257997	248.948462211629	224.024597192726
TSPOAP1	2.54419040556726	3.87748968479247	3.95044949160253	3.8291181581677	4.49365455255648	5.50880157031293
MPO	0	0	0	0	0	0
PON1	0	0	0	0.957279539541925	0.898730910511295	0
GCFC2	26.7139992584562	24.2343105299529	38.5168825431247	17.2310317117546	22.4682727627824	22.9533398763039
WDR54	260.779516570644	158.977077076491	121.476321866778	336.005118379216	362.188556936052	298.39341839195
CROT	24.169808852889	20.3568208451605	21.7274722038139	16.2737521722127	30.556850957384	17.4445383059909
ABCB4	1.27209520278363	0.969372421198117	1.97522474580127	0	1.79746182102259	6.42693516536508
KMT2E	0	0	0	0	0	0
RHBDD2	538.096270777476	378.055244267266	297.271324243091	365.680784105015	346.011400546849	378.271041161488
SOX8	44.523332097427	22.2955656875567	19.7522474580127	21.0601498699223	11.6835018366468	26.6258742565125
IBTK	292.581896640235	331.525368049756	400.970623397657	357.065268249138	367.58094239912	357.153968475288
ZNF195	222.616660487135	357.698423422105	450.351242042689	285.269302783494	420.606066119286	276.358212110699
MYCBP2	0	0	0	0	0	0
FBXL3	31.8023800695908	123.110297492161	154.067530172499	148.378328628998	91.6705528721521	132.21123768751
ITGAL	0	0	0.987612372900633	3.8291181581677	0	0
PDK2	220.072470081568	136.681511388935	168.881715766008	114.873544745031	106.948978350844	124.866168927093
ITGA3	5514.53270406704	3217.34706595655	2734.69866056185	3633.83313210115	3632.67034028666	1581.02605067981
ZFX	53.4279985169125	98.875986962208	115.550647629374	106.258028889154	145.59440750283	89.058958720059
LAMP2	646.224363014084	1571.35269476215	2080.89926970163	1396.67084819167	1623.1080243834	1770.16157126055
ITGA2B	2.54419040556726	2.90811726359435	3.95044949160253	7.6582363163354	4.49365455255648	10.0994695455737
