baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseMeanHIFA1-null	baseMean_WT	symbol	entrez	log10.pvalue	significant	direction
ENSG00000000003	0	NA	NA	NA	NA	NA	0	0	TSPAN6	7105	NA	No	No
ENSG00000000005	0	NA	NA	NA	NA	NA	0	0	TNMD	64102	NA	No	No
ENSG00000000419	2826.15599339054	-0.154737460440489	0.29504186404803	-0.524459337117325	0.599959095005651	0.999766709972579	2598.36724401832	3053.94474276276	DPM1	8813	0.000101328391503183	No	No
ENSG00000000457	0	NA	NA	NA	NA	NA	0	0	SCYL3	57147	NA	No	No
ENSG00000000460	468.451246609528	0.0485428187480835	0.292361541916629	0.166036950105859	0.868127871758793	0.999766709972579	472.031300135504	464.871193083552	FIRRM	55732	0.000101328391503183	No	No
ENSG00000000938	0.319093179847308	-1.55185695734862	4.14252209252248	-0.374616458932065	0.707945730561161	NA	0	0.638186359694616	FGR	2268	NA	No	No
ENSG00000000971	0	NA	NA	NA	NA	NA	0	0	CFH	3075	NA	No	No
ENSG00000001036	0	NA	NA	NA	NA	NA	0	0	FUCA2	2519	NA	No	No
ENSG00000001084	231.439232609743	-0.164436173967577	0.332233357993035	-0.494941793204955	0.620641208367066	0.999766709972579	218.654139061285	244.224326158201	GCLC	2729	0.000101328391503183	No	No
ENSG00000001167	757.122964673677	0.269498488023048	0.279870602285848	0.962939607882765	0.335577831271661	0.999766709972579	840.146966769655	674.098962577697	NFYA	4800	0.000101328391503183	No	No
ENSG00000001460	83.7478579003282	0.320672386529116	0.392135258443735	0.817759636819619	0.413494449888768	0.999766709972579	94.0973843192248	73.3983314814315	STPG1	90529	0.000101328391503183	No	No
ENSG00000001461	53.5201777400263	0.30884988407816	0.486382319681878	0.634994060392996	0.525432288817827	0.999766709972579	61.2336631205419	45.8066923595107	NIPAL3	57185	0.000101328391503183	No	No
ENSG00000001497	61.5923023652157	0.376260075538695	0.485285234453497	0.775337984396784	0.438139969840516	0.999766709972579	69.4849760617275	53.699628668704	LAS1L	81887	0.000101328391503183	No	No
ENSG00000001561	46.3147433888966	-0.342117252820053	0.540958572126689	-0.632427824325024	0.527107357157603	0.999766709972579	40.5584821799416	52.0710045978516	ENPP4	22875	0.000101328391503183	No	No
ENSG00000001617	94.7412251143617	0.4105111854036	0.44688118735484	0.918613709906832	0.358297658383615	0.999766709972579	110.973496921758	78.5089533069654	SEMA3F	6405	0.000101328391503183	No	No
ENSG00000001626	0	NA	NA	NA	NA	NA	0	0	CFTR	1080	NA	No	No
ENSG00000001629	1124.58297430433	-0.158646933968712	0.321495937928422	-0.493464816354953	0.621684194056349	0.999766709972579	1048.80127205706	1200.36467655161	ANKIB1	54467	0.000101328391503183	No	No
ENSG00000001630	449.252130141058	0.663487698873933	1.06692347596047	0.621869997074199	0.534027354986374	0.999766709972579	559.519688994122	338.984571287994	CYP51A1	1595	0.000101328391503183	No	No
ENSG00000001631	0	NA	NA	NA	NA	NA	0	0	KRIT1	889	NA	No	No
