SRR32635203	SRR32635202	SRR32635201	SRR32635200	SRR32635199	SRR32635198
TSPAN6	0	0	0	0	0	0
TNMD	0	0	1.01883162043941	0	0	0
DPM1	3182.97251003825	3415.16318995467	4744.69885638631	3738.74380336273	3534.89612703672	3024.04481890122
SCYL3	0	0	0	0	0	0
FIRRM	657.035609870282	599.41654808939	720.31395565066	515.657876453243	558.394412672196	435.729312065049
FGR	0	0	2.03766324087881	0	0	0
CFH	0	0	0	0	0	0
FUCA2	0	0	0	0	0	0
GCLC	363.976869594807	297.18971711995	271.009211036882	363.202504284458	340.226544037792	317.936459760383
NFYA	999.111292469412	881.494923660867	821.178286074161	590.091969923885	690.064007398686	674.442260540878
STPG1	85.5189206497827	83.6160899015451	68.2617185694402	60.9821488675139	72.0818949232611	84.4355843953804
NIPAL3	23.9870143285976	34.2523741765365	19.3578007883487	24.2135002856305	28.8327579693044	59.4176334634158
LAS1L	36.5019783261268	36.2672197163328	66.2240553285614	34.0782596612578	45.1713208185769	29.1876094206253
ENPP4	69.8752156528712	98.7274314500171	141.617595241077	69.950111936266	65.35425139709	42.7389995087728
SEMA3F	117.849244310066	81.6012443617488	65.205223708122	87.8860380737701	113.408848012597	89.6476575062063
CFTR	0	1.00742276989813	1.01883162043941	0	0	0
ANKIB1	1109.66014111425	1001.37823327875	1231.76742911124	1096.78188330838	1144.66049138139	1012.1845981224
CYP51A1	415.079639251384	396.924571339865	971.965365899193	203.572761660672	265.261373317601	165.743924924265
KRIT1	0	0	0	0	0	0
RAD52	157.479963635575	152.120838254618	143.655258481956	196.39839120567	208.556949311302	194.93153434489
BAD	45.8882013242736	29.2152603270459	22.4142956496669	20.6263150581297	31.7160337662349	36.4845117757816
LAP3	1283.8267234132	1243.1596980543	1555.75588441097	1507.51459185722	1291.70755702484	1275.91549753019
CD99	1534.12600336378	1403.3399184681	1066.71670660006	1396.31184980469	1259.03043132629	1202.94647397863
HS3ST1	0	0	0	0	0	0
AOC1	0	1.00742276989813	0	0	0	0
WNT16	1.04291366646076	0	2.03766324087881	0	2.88327579693044	0
HECW1	4.17165466584306	0	5.09415810219703	2.69038892062561	0	7.29690235515633
MAD1L1	377.534747258797	422.110140587318	380.024194423898	399.971152866341	478.623782290454	544.140432770229
LASP1	236.741402286594	240.774042005654	182.370860058654	283.387632972565	325.81016505314	390.905483311946
SNX11	188.767373629398	224.655277687284	242.481925664579	185.636835523167	166.268904289656	197.016363589221
TMEM176A	4.17165466584306	1.00742276989813	3.05649486131822	2.69038892062561	4.80545966155074	3.12724386649557
M6PR	7176.28893891652	6071.73703417605	6787.45625536732	6775.29609844217	6093.32285084634	6607.86628990514
KLHL13	139.750431305742	168.239602572988	118.184467970971	90.5764269943957	79.7706303817423	82.35075515105
CYP26B1	397.350106921551	322.375286367403	184.408523299532	347.060170760704	343.109819834723	359.63304464699
ICA1	39.630719325509	60.445366193888	81.5065296351524	88.7828343806453	67.2764352617103	55.2479749747551
DBNDD1	50.0598559901167	59.4379434239899	68.2617185694402	104.028371597524	92.2648255017742	92.7749013727019
ALS2	699.795070195173	585.312629310816	631.675604672432	565.878469638254	472.857230696593	485.765213928978
CASP10	0	0	1.01883162043941	0	0.961091932310148	0
CFLAR	115.763416977145	149.098569944924	188.48384978129	107.615556825025	83.6149981109828	74.0114381737285
TFPI	0	0	0	0	0	0
NDUFAF7	740.468703187143	623.594694566945	918.986121636344	524.625839521995	540.133665958303	426.347580465563
RBM5	1289.0412917455	1228.04835650583	1191.01416429367	1071.67158671587	1024.52399984262	829.762039243491
MTMR7	14.6007913304507	16.1187643183701	31.5837802336216	13.4519446031281	23.0662063754435	11.4665608438171
SLC7A2	10.4291366646076	17.1261870882683	18.3389691679093	55.6013710262627	29.7938499016146	29.1876094206253
ARF5	76.1326976516358	83.6160899015451	65.205223708122	90.5764269943957	81.6928142463625	94.8597306170323
SARM1	12.5149639975292	22.1633009377589	14.2636426861517	15.2455372168785	11.5331031877218	6.25448773299114
POLDIP2	49.0169423236559	66.4899028132768	73.3558766716372	65.46613040189	37.4825853600958	60.460048085581
PLXND1	652.863955204438	749.522540804212	700.956154862311	826.846194938939	850.566360094481	1024.69357358838
AK2	0	0	0	0	0	0
CD38	0	0	0	0	0	0
FKBP4	5561.85858323526	6954.23938060682	9067.60142191071	6551.09702172337	6202.88733112969	6387.91680462828
KDM1A	33.3732373267445	26.1929920173515	16.3013059270305	35.8718522750082	39.4047692247161	53.1631457304247
RBM6	426.551689582453	471.473856312327	323.988455299731	287.871614506941	321.965797323899	341.911996070182
CAMKK1	18.7724459962938	9.0668049290832	15.2824743065911	3.58718522750082	4.80545966155074	8.33931697732152
RECQL	937.579386148227	954.029363093533	1315.31162198727	588.298377310134	651.62033010628	571.243212946524
VPS50	32.3303236602837	33.2449514066384	69.2805501898796	36.7686485818834	43.2491369539566	44.8238287531032
HSPB6	0	0	0	0	0	0
ARHGAP33	6.25748199876459	4.02969107959254	5.09415810219703	5.38077784125123	4.80545966155074	6.25448773299114
NDUFAB1	323.303236602837	373.753847632208	635.750931154189	418.803875310721	341.187635970102	283.536777228932
PDK4	27.1157553279799	3.0222683096944	13.2448110657123	17.0391298306289	9.61091932310148	23.9755363097994
SLC22A16	0	0	0	0	0	0
ZMYND10	1.04291366646076	1.00742276989813	4.07532648175762	0.896796306875205	0	3.12724386649557
ABCB5	4.17165466584306	2.01484553979627	3.05649486131822	0	0.961091932310148	0
ARX	1.04291366646076	0	1.01883162043941	0	0	0
SLC25A13	0	0	0	0	0	0
ST7	482.869027571334	452.332823684262	861.931550891737	334.505022464451	355.604014954755	262.688484785628
CDC27	1100.27391811611	1155.51391707316	1229.72976587036	958.675252049594	1084.11169964585	1108.0867433616
SLC4A1	0	0	0	0	0.961091932310148	0
CALCR	43.8023739913521	63.4676345035824	395.306668730489	227.786261946302	129.74741086187	105.283876838684
HCCS	576.731257552803	567.179019452649	855.818561169101	696.810730442034	500.728896733587	532.673871926412
DVL2	123.06381264237	137.009496706146	110.033815007456	153.35216847566	147.047065643453	144.895632480961
PRSS22	15.6437049969115	30.222683096944	36.6779383358186	26.9038892062561	18.2607467138928	54.2055603525899
UPF1	0	0	0	0	0	0
SKAP2	0	6.0445366193888	7.13182134307584	0.896796306875205	2.88327579693044	0
SLC25A5	3422.84265332423	3878.57766410782	4206.75576079431	3997.02113974279	3629.08313640312	3318.0057423518
MCUB	302.444963273622	348.568278384754	743.747082920766	254.690151152558	280.638844234563	238.712948475828
HOXA11	3.12874099938229	7.05195938928694	9.16948458395465	0.896796306875205	0.961091932310148	0
DHX33	46.9311149907344	31.2301058668421	46.8662545402127	56.4981673331379	37.4825853600958	56.2903895969203
MEOX1	1.04291366646076	5.03711384949067	2.03766324087881	11.6583519893777	7.68873545848118	6.25448773299114
THSD7A	0	0	0	0	0	0
LIG3	213.797301624457	195.440017360238	150.787079825032	167.700909385663	166.268904289656	198.058778211386
RPAP3	1548.72679469423	1565.5349844217	2448.25238391589	1179.28714354089	1259.9915232586	1068.47498771932
ACSM3	1.04291366646076	2.01484553979627	5.09415810219703	1.79359261375041	7.68873545848118	11.4665608438171
REXO5	30.2444963273622	48.3562929551104	26.4896221314245	64.5693340950148	45.1713208185769	35.4420971536165
CIAPIN1	41.7165466584306	46.3414474153142	76.4123715329554	43.943019036885	38.4436772924059	35.4420971536165
SPPL2B	10.4291366646076	9.0668049290832	2.03766324087881	9.86475937562725	4.80545966155074	12.5089754659823
ATOSB	196.067769294624	176.298984732173	111.052646627895	124.654686655653	137.436146320351	118.835266926832
COPZ2	26.0728416615191	38.2820652561291	20.3766324087881	10.7615556825025	30.7549418339247	36.4845117757816
PRKAR2B	56.3173379888813	65.4824800433787	113.090309868774	41.2526301162594	69.1986191263306	50.0359018639291
MSL3	484.954854904255	446.288287064873	537.943095592006	315.672300020072	421.919358284155	371.099605490808
CREBBP	220.054783623221	194.43259459034	87.6195193577889	267.245299448811	297.938499016146	348.166483803173
