baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseMeanHIFA1-null	baseMean_WT	symbol	entrez	log10.pvalue	significant	direction
ENSG00000000003	0	NA	NA	NA	NA	NA	0	0	TSPAN6	7105	NA	No	No
ENSG00000000005	0.169805270073234	0.995312442528822	4.07294727027935	0.244371551233109	0.80694307279245	NA	0.339610540146469	0	TNMD	64102	NA	No	No
ENSG00000000419	3606.75321761332	0.124257837943218	0.191128169627968	0.650128331083199	0.515609330283685	0.726331059062153	3780.94485212641	3432.56158310022	DPM1	8813	0.138865384324215	No	No
ENSG00000000457	0	NA	NA	NA	NA	NA	0	0	SCYL3	57147	NA	No	No
ENSG00000000460	581.091285800136	0.390097866280799	0.182446100729795	2.13815403409765	0.03250424364292	0.125028474157105	658.92203787011	503.260533730163	FIRRM	55732	0.902991068903492	No	No
ENSG00000000938	0.339610540146469	1.43381492215301	4.05163850282198	0.353885204999003	0.723424915199787	NA	0.679221080292937	0	FGR	2268	NA	No	No
ENSG00000000971	0	NA	NA	NA	NA	NA	0	0	CFH	3075	NA	No	No
ENSG00000001036	0	NA	NA	NA	NA	NA	0	0	FUCA2	2519	NA	No	No
ENSG00000001084	325.590217639045	-0.138985164870825	0.180753639224384	-0.768920423772446	0.441940552099063	0.665277205779861	310.725265917213	340.455169360878	GCLC	2729	0.176997356418093	No	No
ENSG00000001167	776.063790011315	0.46476559329178	0.16808010413284	2.76514341593017	0.00568977743911669	0.0375591471184482	900.594834068147	651.532745954483	NFYA	4800	1.42528427811938	No	No
ENSG00000001460	75.8160595511539	0.133590958507182	0.315244410820937	0.423769475117082	0.671733941747231	0.830789339680344	79.132243040256	72.4998760620518	STPG1	90529	0.0805090847750042	No	No
ENSG00000001461	31.6768468353056	-0.440045776654205	0.513290388026999	-0.857303754207567	0.391277034269841	0.620175945746456	25.8657297644943	37.4879639061169	NIPAL3	57185	0.207485082394355	No	No
