SRR32635221	SRR32635220	SRR32635219	SRR32635218	SRR32635217	SRR32635216
TSPAN6	0	0	0	0	0	0
TNMD	0	0	0	8.63750890732532	0	11.8101088101391
DPM1	2144.53266523932	1726.30550327706	2006.41603072791	927.668456646739	800.336517029283	946.284968412395
SCYL3	0	0	0	0	0	0
FIRRM	338.446246077769	347.348171212051	431.364177078108	198.662704868482	226.735494387024	125.482406107728
FGR	0	0	0	1.72750178146506	0	1.47626360126739
CFH	0	0	0	0	0	0
FUCA2	0	0	0	0	0	0
GCLC	139.589580755577	194.544791172415	166.437859474385	100.195103324974	120.925597006413	50.1929624430911
NFYA	687.030282936669	731.220077165284	684.074871968114	321.315331352502	537.005118285056	265.72744822813
STPG1	88.1207967898338	90.936645682125	75.5841655411198	32.8225338478362	63.6450510560066	42.8116444367542
NIPAL3	38.9915030043513	46.2137051827193	35.1199153019344	157.202662113321	81.1474400964084	118.101088101391
LAS1L	36.6520128240902	47.7044698660328	47.3355380156508	48.3700498810218	54.0982933976056	51.6692260443585
ENPP4	17.9360913820016	26.8337642996434	41.9912030783999	20.7300213775808	15.1156996258016	4.42879080380216
SEMA3F	97.4787575108781	79.7559105572736	86.2728354156216	281.582790378805	124.903412697413	264.251184626862
CFTR	0	0	0	0	1.59112627640017	1.47626360126739
ANKIB1	805.564452069897	718.548577357119	713.086975913191	162.385167457716	412.897268725843	140.245042120402
CYP51A1	177.801253699842	109.571204223544	229.806402301788	27.640028503441	32.6180886662034	54.6217532468933
KRIT1	0	0	0	0	0	0
RAD52	152.06686171697	133.42343915656	134.37184985088	27.640028503441	86.716382063809	47.2404352405564
BAD	36.6520128240902	40.2506464494652	37.4103445607563	203.845210212878	96.26313972221	188.961740962225
LAP3	1118.27630616479	1280.56686296632	929.150802662048	1580.66413004053	1305.51910978634	1133.77044577335
CD99	1012.21941799296	725.25701843203	1078.02870448547	290.220299286131	327.772012938434	645.127193753848
HS3ST1	0	0	0	0	0	0
AOC1	0	0	0	0	0	0
WNT16	0	0	0	0	0	14.7626360126739
HECW1	0	3.72691170828381	0.76347641960727	0	2.38668941460025	23.6202176202782
MAD1L1	465.558545871954	550.09216814269	440.525894113395	2166.28723395719	1074.80579970831	2041.6725605528
LASP1	650.378270112579	708.858606915581	398.534691034995	1689.49674227283	1366.77747142774	1992.95586171097
SNX11	113.075358712619	114.043498273485	142.006614046952	165.840171020646	147.974743705215	211.105694981236
TMEM176A	3.89915030043513	2.98152936662705	4.58085851764362	0	2.38668941460025	0
M6PR	5184.31023945854	5641.05356165838	4974.81235016098	10869.4412089782	7005.72899498993	6082.20603722163
KLHL13	60.0469146267009	71.5567047990492	80.9285004783707	24.1850249405109	82.7385663728086	53.1454896456259
CYP26B1	356.38233745977	367.473494436784	360.360870054632	304.040313537851	301.518429377831	159.436468936878
ICA1	26.5142220429589	28.324528982957	33.5929624627199	145.110149643065	120.130033868213	221.439540190108
DBNDD1	53.0284440859177	45.4683228410625	46.5720615960435	79.465081947393	66.0317404706069	85.6232888735084
ALS2	375.098258901859	381.635758928262	361.887822893846	36.2775374107663	85.1252557874089	51.6692260443585
CASP10	0.779830060087025	0	0	0	0.795563138200083	14.7626360126739
