baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseMeanHIFA1-null	baseMean_WT	symbol	entrez	log10.pvalue	significant	direction
ENSG00000000003	0	NA	NA	NA	NA	NA	0	0	TSPAN6	7105	NA	No	No
ENSG00000000005	3.40793628624407	-5.05510632652776	2.66327731369861	-1.8980773427261	0.0576858943416058	0.121627718506957	0	6.81587257248814	TNMD	64102	0.914967439678362	No	No
ENSG00000000419	1425.25735688878	1.13733416095699	0.177106472477145	6.42175379052712	1.34713185299679e-10	3.77733624756629e-09	1959.08473308143	891.429980696139	DPM1	8813	8.42281435381087	Yes	Up-Regulated
ENSG00000000457	0	NA	NA	NA	NA	NA	0	0	SCYL3	57147	NA	No	No
ENSG00000000460	278.006533288527	1.04349175720727	0.306339739150391	3.40632188334858	0.000658444988767983	0.00278493739840689	372.386198122643	183.626868454411	FIRRM	55732	2.55518456272796	Yes	Up-Regulated
ENSG00000000938	0.533960897122075	-2.59732190791857	4.04017557717687	-0.642873523267395	0.520306170755459	NA	0	1.06792179424415	FGR	2268	NA	No	No
ENSG00000000971	0	NA	NA	NA	NA	NA	0	0	CFH	3075	NA	No	No
ENSG00000001036	0	NA	NA	NA	NA	NA	0	0	FUCA2	2519	NA	No	No
ENSG00000001084	128.647649029476	0.947318521712402	0.368324926524577	2.57196419110448	0.0101123350551495	0.0289723647946844	166.857410467459	90.4378875914925	GCLC	2729	1.53801605518052	No	No
ENSG00000001167	537.728854989292	0.956558692569209	0.255859242711955	3.73861300623835	0.000185038313108505	0.000924272283646314	700.775077356689	374.682632621896	NFYA	4800	3.03420007005108	No	No
ENSG00000001460	65.6534728922793	0.872297033872815	0.433801827760128	2.01081917606662	0.044344559877714	0.0984189873773622	84.8805360043595	46.426409780199	STPG1	90529	1.00692110768932	No	No
ENSG00000001461	79.4627189666875	-1.55304717652877	0.435698259728365	-3.56450167484492	0.000364548123903047	0.00167309403066817	40.108374496335	118.81706343704	NIPAL3	57185	2.77647965027924	Yes	Down-Regulated
ENSG00000001497	47.6382650047933	-0.228955818623253	0.463017915277512	-0.494485874236695	0.620963080010989	0.722728321005018	43.8973402352579	51.3791897743287	LAS1L	81887	0.141024926580999	No	No
ENSG00000001561	21.1725950945382	1.13727787586146	0.826056785649354	1.37675507981871	0.168587983198169	0.278428305936576	28.920352920015	13.4248372690615	ENPP4	22875	0.55528661501277	No	No
ENSG00000001617	155.707481864476	-1.28957383799967	0.362827153678615	-3.55423739630566	0.000379076869904377	0.00173130630135432	87.8358344945911	223.57912923436	SEMA3F	6405	2.76162609028755	Yes	Down-Regulated
ENSG00000001626	0.511231646277925	-2.88884038202077	4.01867901536355	-0.718853227883251	0.472231357459817	NA	0	1.02246329255585	CFTR	1080	NA	No	No
ENSG00000001629	492.121247274028	1.78533135121222	0.339735915863841	5.25505625942632	1.47979229055618e-07	1.77575074866742e-06	745.733335113402	238.509159434654	ANKIB1	54467	5.75061799355465	Yes	Up-Regulated
ENSG00000001630	105.343121773619	2.12677604613758	0.376205006848356	5.653236951721	1.57454005025625e-08	2.46758677225651e-07	172.392953408391	38.2932901388459	CYP51A1	1595	6.60772756650044	Yes	Up-Regulated
ENSG00000001631	0	NA	NA	NA	NA	NA	0	0	KRIT1	889	NA	No	No
ENSG00000002016	96.9098327553694	1.40755375724561	0.456943358630055	3.08036812585602	0.00206744886791345	0.00747531730407135	139.95405024147	53.8656152692688	RAD52	5893	2.12637036815637	Yes	Up-Regulated
ENSG00000002330	100.563849121937	-2.0477088386664	0.410240815522237	-4.99148003120964	5.99183783556593e-07	5.98163896265433e-06	38.1043346114372	163.023363632438	BAD	572	5.22317980348438	Yes	Down-Regulated
ENSG00000002549	1224.6579428989	-0.280841031631601	0.203201121011091	-1.38208406643718	0.166945890229714	0.276234906650223	1109.33132393105	1339.98456186674	LAP3	51056	0.558721442311713	No	No
ENSG00000002586	679.770774481478	1.19635092197307	0.260972317632409	4.58420622089957	4.5571430987663e-06	3.47488332926514e-05	938.501713636818	421.039835326138	CD99	4267	4.45905977245717	Yes	Up-Regulated
ENSG00000002587	0	NA	NA	NA	NA	NA	0	0	HS3ST1	9957	NA	No	No
ENSG00000002726	0	NA	NA	NA	NA	NA	0	0	AOC1	26	NA	No	No
ENSG00000002745	2.46043933544564	-2.94287422740845	3.51318650607568	-0.837665242741614	0.402218739334823	0.529569822736598	0	4.92087867089129	WNT16	51384	0.276076770910467	No	No
ENSG00000002746	5.08288252712825	-2.05709983322517	2.04069889407443	-1.00803692264369	0.31343673710836	0.442475259380092	1.49679604263036	8.66896901162614	HECW1	23072	0.354111007486134	No	No
ENSG00000002822	1123.15703372439	-1.82433471131653	0.287926724658997	-6.33610761028579	2.35642239050338e-10	6.17672282471613e-09	485.392202709347	1760.92186473943	MAD1L1	8379	8.20924188682762	Yes	Down-Regulated
ENSG00000002834	1134.50027391245	-1.53887016922844	0.27829827856319	-5.52957128291766	3.21014339523455e-08	4.67280025142931e-07	585.923856021052	1683.07669180385	LASP1	3927	6.33042278340028	Yes	Down-Regulated
ENSG00000002919	149.007680123359	-0.49949694468812	0.288632491199335	-1.73056381356304	0.0835295904548559	0.162870552049114	123.041823677685	174.973536569033	SNX11	29916	0.788157431582677	No	No
ENSG00000002933	2.30803793321767	2.51865081601715	2.25900803519098	1.11493663447913	0.264877576458936	0.390246678483984	3.82051272823527	0.795563138200083	TMEM176A	55365	0.408660784670967	No	No
ENSG00000003056	6626.25873207794	-0.600194403697727	0.244506428378522	-2.45471829791143	0.0140995028896603	0.038225077556791	5266.7253837593	7985.79208039658	M6PR	4074	1.41765162475273	No	No
