baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	baseMeanHIFA1-null	baseMean_WT	symbol	entrez	log10.pvalue	significant	direction
ENSG00000000003	0	NA	NA	NA	NA	NA	0	0	TSPAN6	7105	NA	No	No
ENSG00000000005	0.15372360758329	0.891027634785849	4.07473068782958	0.21867154004734	0.826905920200817	NA	0.30744721516658	0	TNMD	64102	NA	No	No
ENSG00000000419	2825.71507253836	0.203731372700998	0.231953230625346	0.878329532862029	0.37976491332061	0.683682923561825	2958.97156031794	2692.45858475878	DPM1	8813	0.165145267394809	No	No
ENSG00000000457	0	NA	NA	NA	NA	NA	0	0	SCYL3	57147	NA	No	No
ENSG00000000460	512.513317048441	0.356171152198557	0.228523328750521	1.55857677264709	0.11909658410596	0.421911083391481	572.231922822958	452.794711273924	FIRRM	55732	0.374779065771149	No	No
ENSG00000000938	0.342341584907328	-0.0315425650433378	4.08047285743323	-0.0077301249500724	0.99383231407416	NA	0.30744721516658	0.377235954648077	FGR	2268	NA	No	No
ENSG00000000971	0	NA	NA	NA	NA	NA	0	0	CFH	3075	NA	No	No
ENSG00000001036	0	NA	NA	NA	NA	NA	0	0	FUCA2	2519	NA	No	No
ENSG00000001084	228.136671215941	0.25356765826064	0.279961037021914	0.905724814274039	0.365081525025045	0.671312533177294	247.617463571823	208.655878860058	GCLC	2729	0.173075244608721	No	No
ENSG00000001167	983.053732432284	0.459762162174131	0.192462980690718	2.38883426061531	0.0169019253067893	0.189214083611729	1137.9661711976	828.141293666971	NFYA	4800	0.723046541257566	No	No
ENSG00000001460	91.2785222282106	0.232030416926298	0.325243689760902	0.713404823001705	0.475595289493227	0.744322146798324	98.2125831127968	84.3444613436244	STPG1	90529	0.128239058679483	No	No
ENSG00000001461	50.5953988772777	-0.68755520204789	0.439980723786117	-1.56269392015938	0.118124605134196	0.419665993293129	36.708367123484	64.4824306310714	NIPAL3	57185	0.377096221456867	No	No
ENSG00000001497	68.2809617030523	0.488936704577621	0.387848271961676	1.26063912082077	0.20743889713486	0.540297259714461	79.3617752284716	57.2001481776329	LAS1L	81887	0.267367235114712	No	No
ENSG00000001561	56.1277400620592	0.17247399803363	0.473909095140336	0.363938991258558	0.715903567502343	0.881164667949888	56.2165129083289	56.0389672157894	ENPP4	22875	0.0549429250732767	No	No
ENSG00000001617	119.288350791925	-0.415182356622311	0.328546236226279	-1.26369536717615	0.206339388610429	0.539359131901328	101.904751976478	136.671949607372	SEMA3F	6405	0.268121963819629	No	No
ENSG00000001626	0.158378118470011	-0.993315237456951	4.08047285743323	-0.243431404193136	0.807671218325196	NA	0	0.316756236940021	CFTR	1080	NA	No	No
ENSG00000001629	1073.15824323516	0.0264359592936916	0.275461165273592	0.0959698230690159	0.923544539610883	0.973085858022624	1059.8924486848	1086.42403778552	ANKIB1	54467	0.0118488390529141	No	No
ENSG00000001630	302.803840475972	0.972020143364677	0.853678747686454	1.13862521000896	0.254859508940404	0.586773071053564	326.987033291667	278.620647660277	CYP51A1	1595	0.231529825573812	No	No
ENSG00000001631	0	NA	NA	NA	NA	NA	0	0	KRIT1	889	NA	No	No
ENSG00000002016	189.414344621355	-0.0307660007363813	0.270407542303026	-0.113776414941504	0.909415035315114	0.96678033317009	187.300951477471	191.52773776524	RAD52	5893	0.0146721928553895	No	No
ENSG00000002330	45.2512610786787	-0.209811958987931	0.548209752355228	-0.382722047695308	0.701925865191696	0.87483187319723	38.4420705342529	52.0604516231044	BAD	572	0.058075402473093	No	No
ENSG00000002549	1419.63844232018	-0.0870775196590855	0.224415398655755	-0.388019361330277	0.698001705674516	0.874330568126614	1370.47069405264	1468.80619058772	LAP3	51056	0.0583243376511374	No	No
ENSG00000002586	1178.4594739107	0.392662523736426	0.212621948992943	1.84676382469553	0.0647813769352432	0.330201692273767	1334.37739797078	1022.54154985061	CD99	4267	0.481220705321331	No	No
ENSG00000002587	0	NA	NA	NA	NA	NA	0	0	HS3ST1	9957	NA	No	No
ENSG00000002726	0.188617977324039	-0.963562281685662	4.0761574831768	-0.236389856295419	0.813130166683728	NA	0	0.377235954648077	AOC1	26	NA	No	No
ENSG00000002745	0.377235954648077	-1.41286206080616	4.05281269595141	-0.348612720794511	0.727380076374524	NA	0	0.754471909296155	WNT16	51384	NA	No	No
ENSG00000002746	3.93070807381759	0.794798768420525	1.31935387474888	0.602415154593611	0.546897824853156	NA	4.9776955939863	2.88372055364889	HECW1	23072	NA	No	No
ENSG00000002822	599.851929663909	-0.272117321698928	0.288341196906667	-0.943733759234586	0.345305717987247	0.658033092097789	521.384701795258	678.31915753256	MAD1L1	8379	0.181752265422388	No	No
ENSG00000002834	705.462691629737	-0.411209744961241	0.364339583608285	-1.12864416456969	0.259047972050008	0.590082325553276	560.74871216348	850.176671095994	LASP1	3927	0.229087393375978	No	No
