logFC	logCPM	PValue	symbol	entrez	padj	log10.pvalue	significant	direction
ENSG00000000419	-0.128211618161531	9.3243519309532	0.575896761194255	DPM1	8813	0.778843340570633	0.108549889141033	No	No
ENSG00000000460	-0.378100315035714	6.69440624769085	0.0741250670675551	FIRRM	55732	0.229898679210029	0.638463523787022	No	No
ENSG00000001084	0.142103575475332	5.8644724022478	0.508350675187344	GCLC	2729	0.72766955179938	0.13806579707548	No	No
ENSG00000001167	-0.456949118126574	7.11118087118203	0.0262733634801855	NFYA	4800	0.11911695913142	0.92402640196929	No	No
ENSG00000001460	-0.117958099484532	3.78873318826537	0.716731226987177	STPG1	90529	0.868935309210897	0.0610125548499747	No	No
ENSG00000001461	0.538131204383474	2.57887530163975	0.243061775270941	NIPAL3	57185	0.478809983104376	0.319836803207264	No	No
ENSG00000001497	-0.344746793284646	2.9397809384164	0.382127336577202	LAS1L	81887	0.620944221614349	0.206947410021611	No	No
ENSG00000001561	-0.786537389417721	3.88659396406313	0.0329802603954559	ENPP4	22875	0.137401775016125	0.862007656834481	No	No
ENSG00000001617	0.146120479523248	4.0721431980035	0.64287946083522	SEMA3F	6405	0.823677324699383	0.0842428896961547	No	No
ENSG00000001629	-0.0282139415974816	7.61284181861005	0.888805051135007	ANKIB1	54467	0.963621087459925	0.0160937046603325	No	No
ENSG00000001630	-1.47797195634435	6.16450414609417	4.59163913708468e-05	CYP51A1	1595	0.00128967164452163	2.88952084871196	Yes	Down-Regulated
ENSG00000002016	0.414318345258781	4.98125082218511	0.0736149583016798	RAD52	5893	0.228780990419891	0.640580064226581	No	No
ENSG00000002330	-0.127351181185944	2.54989331985862	0.807925387496448	BAD	572	0.919872791993391	0.0362722265186604	No	No
ENSG00000002549	0.00849271274161387	7.91896327378276	0.967992742767492	LAP3	51056	0.999409387355205	0.00025657558843049	No	No
ENSG00000002586	-0.0440800461049455	7.86654668856387	0.823773148878733	CD99	4267	0.928102055373283	0.032404265539201	No	No
