gene_id	SRR32635210	SRR32635211	SRR32635214	SRR32635213	SRR32635212	SRR32635215
ENSG00000000003	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	3960	2949	3231	3002	3004	1335
ENSG00000000457	0	0	0	0	0	0
ENSG00000000460	505	515	502	556	489	299
ENSG00000000938	0	0	0	0	2	0
ENSG00000000971	0	0	0	0	0	0
ENSG00000001036	0	0	0	0	0	0
ENSG00000001084	218	306	224	264	269	140
ENSG00000001167	690	756	703	896	741	750
ENSG00000001460	59	91	95	105	88	68
ENSG00000001461	33	67	38	74	49	58
ENSG00000001497	37	85	86	79	53	37
ENSG00000001561	45	65	45	61	59	14
ENSG00000001617	104	77	74	88	74	137
ENSG00000001626	0	0	0	0	0	0
ENSG00000001629	1201	1522	1127	1388	1181	537
ENSG00000001630	306	542	553	1095	260	48
ENSG00000001631	0	0	0	0	0	0
ENSG00000002016	186	228	138	168	229	154
ENSG00000002330	47	32	44	33	41	71
ENSG00000002549	1465	1769	1854	1460	1432	1215
ENSG00000002586	1328	1620	1194	1227	1243	660
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	1	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	0
ENSG00000002746	2	4	1	3	10	7
ENSG00000002822	419	486	473	407	513	761
ENSG00000002834	338	1128	514	418	465	1030
ENSG00000002919	211	200	181	145	196	108
ENSG00000002933	4	4	5	1	9	1
ENSG00000003056	6187	7406	6274	7945	6078	5860
ENSG00000003096	80	96	56	99	55	76
ENSG00000003137	389	421	406	303	438	450
ENSG00000003147	84	71	52	35	57	50
ENSG00000003249	145	131	77	54	102	52
ENSG00000003393	456	656	507	744	392	275
ENSG00000003400	3	0	0	1	0	0
ENSG00000003402	96	103	105	146	62	33
ENSG00000003436	0	0	0	0	0	0
ENSG00000003509	520	674	528	750	447	224
ENSG00000003756	985	953	921	1048	978	749
ENSG00000003987	48	17	13	4	6	3
ENSG00000003989	57	23	57	14	21	24
ENSG00000004059	108	79	87	66	89	143
ENSG00000004139	17	17	28	11	29	36
ENSG00000004142	48	73	99	66	47	41
ENSG00000004399	1121	1540	1750	1123	1196	1057
ENSG00000004455	0	0	0	0	0	0
ENSG00000004468	0	0	0	0	0	0
ENSG00000004478	6325	7959	8807	6215	7908	5862
ENSG00000004487	38	40	49	30	40	33
ENSG00000004534	342	547	428	472	412	364
ENSG00000004660	7	12	4	27	13	1
ENSG00000004700	675	1080	895	968	792	692
ENSG00000004766	21	30	31	39	27	20
ENSG00000004776	0	0	0	0	0	0
ENSG00000004777	3	3	4	9	2	6
ENSG00000004779	476	320	356	272	338	190
ENSG00000004799	16	6	11	31	0	7
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	2	2	5	0	1	4
ENSG00000004846	0	1	0	3	0	0
ENSG00000004848	5	4	1	1	0	0
ENSG00000004864	0	0	0	0	0	0
ENSG00000004866	315	374	334	446	288	86
ENSG00000004897	861	981	753	1021	831	443
ENSG00000004939	0	0	0	0	0	0
ENSG00000004948	297	97	53	23	135	42
ENSG00000004961	663	703	596	596	573	441
ENSG00000004975	187	149	162	182	115	126
ENSG00000005001	25	29	42	28	39	21
ENSG00000005007	0	0	0	0	0	0
ENSG00000005020	3	1	0	0	1	0
ENSG00000005022	3914	3712	3797	3226	3102	2518
ENSG00000005059	398	519	351	364	320	48
ENSG00000005073	2	2	1	2	1	2
ENSG00000005100	59	65	79	75	60	65
ENSG00000005102	6	3	4	3	7	8
ENSG00000005108	0	0	0	0	0	0
ENSG00000005156	189	208	250	229	204	301
ENSG00000005175	1176	1167	1295	1411	1095	447
ENSG00000005187	3	2	1	9	1	1
ENSG00000005189	27	41	46	26	27	27
ENSG00000005194	34	70	57	54	28	32
ENSG00000005206	12	9	4	13	9	9
ENSG00000005238	148	218	209	340	183	276
ENSG00000005243	22	14	20	25	18	7
ENSG00000005249	48	40	61	66	48	14
ENSG00000005302	381	583	474	710	403	279
ENSG00000005339	244	277	297	167	310	440
ENSG00000005379	6	5	4	4	4	2
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	1	0	0	1	0
ENSG00000005436	25	25	25	39	18	21
ENSG00000005448	325	403	164	123	351	205
ENSG00000005469	19	34	21	22	17	19
ENSG00000005471	7	2	1	2	0	1
ENSG00000005483	0	0	0	0	0	0
ENSG00000005486	412	385	390	301	382	423
ENSG00000005513	29	13	23	20	22	35
ENSG00000005700	389	409	342	406	373	230
ENSG00000005801	301	468	369	456	298	175
ENSG00000005810	0	0	0	0	0	0
ENSG00000005812	144	102	127	156	155	25
ENSG00000005844	0	0	0	1	4	0
ENSG00000005882	136	119	141	171	120	173
ENSG00000005884	1722	4042	3319	2769	3796	4335
ENSG00000005889	97	162	102	117	111	42
ENSG00000005893	1928	1806	1621	2107	1459	508
ENSG00000005961	11	5	3	4	8	2
ENSG00000005981	0	0	0	1	0	0
ENSG00000006007	280	340	225	433	282	120
ENSG00000006015	0	0	0	0	0	0
ENSG00000006016	239	119	99	64	144	187
ENSG00000006025	0	0	0	0	0	0
ENSG00000006042	305	207	192	272	242	500
ENSG00000006047	52	21	23	10	19	9
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	91	104	158	85	111	177
ENSG00000006071	13	7	5	3	4	6
ENSG00000006118	34	23	38	23	29	30
ENSG00000006125	47	94	72	96	70	18
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	0	0	0	0	0	0
ENSG00000006210	175	87	90	138	78	112
ENSG00000006282	177	136	102	90	137	122
ENSG00000006283	5	4	15	7	15	19
ENSG00000006327	1012	1176	1173	1061	1016	2138
ENSG00000006377	0	1	0	1	0	0
ENSG00000006432	61	48	24	35	48	24
ENSG00000006451	73	101	74	114	60	28
ENSG00000006453	195	135	155	105	183	116
ENSG00000006459	16	62	29	71	49	6
ENSG00000006468	0	0	0	0	0	0
ENSG00000006530	1	0	0	0	2	0
ENSG00000006534	134	86	93	204	109	124
ENSG00000006555	0	0	4	0	2	0
ENSG00000006576	1250	1399	1568	2010	1160	634
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	20	19	13	25	21	9
ENSG00000006611	0	0	0	0	0	0
ENSG00000006625	372	269	308	306	263	194
ENSG00000006634	113	97	73	153	74	35
ENSG00000006638	6	1	1	2	6	2
ENSG00000006652	272	434	461	711	352	109
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	127	155	121	164	84	33
ENSG00000006704	664	570	659	918	594	793
ENSG00000006712	762	683	678	647	670	569
ENSG00000006715	122	130	144	162	103	126
ENSG00000006740	125	131	104	107	81	58
ENSG00000006744	36	49	71	67	67	84
ENSG00000006747	38	22	27	28	42	22
ENSG00000006756	130	82	71	32	78	18
ENSG00000006757	21	20	9	21	17	8
ENSG00000006788	0	0	1	0	0	0
ENSG00000006831	1098	843	1198	844	840	314
ENSG00000006837	1	3	2	9	3	8
ENSG00000007001	0	0	0	0	0	0
ENSG00000007038	0	0	0	0	0	1
ENSG00000007047	8	10	7	5	9	7
ENSG00000007062	0	0	0	0	0	0
ENSG00000007080	4314	5277	5292	4837	4816	4273
ENSG00000007129	0	0	0	0	0	0
ENSG00000007168	0	0	0	0	0	0
ENSG00000007171	0	0	0	0	0	0
ENSG00000007174	2	1	3	0	2	0
ENSG00000007202	687	703	644	648	727	437
ENSG00000007216	1	0	0	0	1	0
ENSG00000007237	109	126	109	125	148	189
ENSG00000007255	955	458	524	312	562	579
ENSG00000007264	28	33	23	12	21	10
ENSG00000007306	0	0	0	0	0	0
ENSG00000007312	2	1	4	0	0	0
ENSG00000007314	0	0	3	1	0	0
ENSG00000007341	0	0	1	0	0	0
ENSG00000007350	0	0	0	0	0	0
ENSG00000007372	0	0	0	0	0	0
ENSG00000007376	170	129	143	110	111	169
ENSG00000007384	74	64	79	54	67	127
ENSG00000007392	35	35	41	23	14	27
ENSG00000007402	22	12	14	21	33	8
ENSG00000007516	0	0	0	0	0	0
ENSG00000007520	12	12	24	15	12	14
ENSG00000007541	39	15	26	13	28	25
ENSG00000007545	0	0	0	0	0	0
ENSG00000007908	0	0	0	0	1	0
ENSG00000007923	0	0	0	0	0	0
ENSG00000007933	0	1	1	3	7	0
ENSG00000007944	0	0	0	0	0	0
ENSG00000007952	0	0	0	0	1	0
ENSG00000007968	5	2	2	3	4	5
ENSG00000008018	1500	2035	1741	1754	1525	983
ENSG00000008056	19	25	25	15	38	51
ENSG00000008083	671	863	444	370	693	497
ENSG00000008086	94	111	89	100	125	57
ENSG00000008118	0	0	1	0	0	0
ENSG00000008128	310	430	303	281	308	212
ENSG00000008130	150	163	153	95	160	257
ENSG00000008196	0	0	0	0	1	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	3	2	3	1	1	2
ENSG00000008256	1331	928	1536	2521	1207	515
ENSG00000008277	0	0	0	0	0	0
ENSG00000008282	986	1158	738	943	825	290
ENSG00000008283	288	206	338	99	195	180
ENSG00000008294	1532	1663	1407	1651	1517	1240
ENSG00000008300	37	20	20	22	25	32
ENSG00000008311	167	127	106	137	115	90
ENSG00000008323	7	1	4	2	0	2
ENSG00000008324	297	129	273	260	227	128
ENSG00000008382	192	152	137	125	154	192
ENSG00000008394	719	628	356	414	402	178
ENSG00000008405	308	227	292	486	271	118
ENSG00000008438	0	1	0	0	0	2
ENSG00000008441	610	694	503	454	650	692
ENSG00000008513	590	491	592	353	552	370
ENSG00000008516	5	1	2	2	0	3
ENSG00000008517	263	158	123	77	159	28
ENSG00000008710	46	70	64	63	54	19
ENSG00000008735	33	15	14	21	26	31
ENSG00000008838	90	58	143	93	86	30
ENSG00000008853	26	40	26	21	19	36
ENSG00000008869	376	340	351	367	373	134
ENSG00000008952	40	30	23	45	24	11
ENSG00000008988	3	4	4	1	0	0
ENSG00000009307	21225	20389	15577	16166	16445	9127
ENSG00000009335	121	177	129	89	73	28
ENSG00000009413	293	306	376	219	250	135
ENSG00000009694	3	0	0	2	3	1
ENSG00000009709	31	26	30	27	18	38
ENSG00000009724	0	0	0	0	0	2
ENSG00000009765	0	2	1	0	1	1
ENSG00000009780	333	411	387	494	383	374
ENSG00000009790	2	0	1	0	0	3
ENSG00000009830	270	573	529	376	437	507
ENSG00000009844	566	170	524	532	443	79
ENSG00000009950	18	4	5	10	1	1
ENSG00000009954	908	1285	1122	1069	870	563
ENSG00000010017	668	602	529	582	567	389
ENSG00000010030	3	2	1	0	10	0
ENSG00000010072	301	262	399	545	276	206
ENSG00000010165	156	170	211	169	140	182
ENSG00000010219	32	50	41	19	15	8
ENSG00000010244	0	0	0	0	0	0
ENSG00000010256	3966	4585	3814	3791	3753	4092
ENSG00000010270	183	211	139	247	203	125
ENSG00000010278	273	5643	3868	4505	5812	5301
ENSG00000010282	0	0	0	0	5	0
ENSG00000010292	251	193	220	256	196	159
ENSG00000010295	17	19	25	21	24	11
ENSG00000010310	7	19	2	8	6	10
ENSG00000010318	6	1	0	8	4	1
ENSG00000010319	10	3	1	5	8	0
ENSG00000010322	378	395	331	352	475	662
ENSG00000010327	0	0	0	0	1	0
ENSG00000010361	224	215	216	227	167	213
ENSG00000010379	1	3	5	2	6	7
ENSG00000010404	5	408	156	188	79	56
ENSG00000010438	0	0	0	0	0	0
ENSG00000010539	121	146	128	173	122	99
ENSG00000010610	0	0	0	0	0	0
ENSG00000010626	236	172	148	148	152	114
ENSG00000010671	0	0	2	0	1	0
ENSG00000010704	77	23	14	4	25	17
ENSG00000010803	297	371	368	372	320	394
ENSG00000010810	224	323	233	463	280	34
ENSG00000010818	198	183	72	69	229	99
ENSG00000010932	1	0	0	0	0	1
ENSG00000011007	0	0	0	0	0	0
ENSG00000011009	1670	1547	1520	1401	1517	1751
ENSG00000011021	49	63	39	64	68	81
ENSG00000011028	686	1229	840	879	1142	1758
ENSG00000011052	0	0	0	0	0	0
ENSG00000011083	0	0	0	0	1	0
ENSG00000011105	410	429	333	343	397	293
ENSG00000011114	93	68	83	75	97	48
ENSG00000011132	58	114	84	91	86	106
ENSG00000011143	303	323	264	251	325	343
ENSG00000011198	309	360	381	361	301	131
ENSG00000011201	62	114	119	89	117	205
ENSG00000011243	38	17	43	32	52	46
ENSG00000011258	75	59	58	42	50	51
ENSG00000011260	665	591	697	677	564	413
ENSG00000011275	1094	1652	1317	1394	1273	1168
ENSG00000011295	303	164	332	222	238	43
ENSG00000011304	1940	2052	2906	3035	1821	644
ENSG00000011332	53	31	30	39	30	20
ENSG00000011347	48	32	33	21	31	26
ENSG00000011376	532	409	540	595	501	321
ENSG00000011405	678	636	605	745	550	204
ENSG00000011422	1072	1423	829	807	1448	622
ENSG00000011426	1699	1583	1621	2096	1530	819
ENSG00000011451	0	0	0	0	0	0
ENSG00000011454	1426	1189	1074	998	1266	935
ENSG00000011465	2	1	2	0	26	1
ENSG00000011478	27	11	32	21	24	3
ENSG00000011485	503	600	684	447	636	1031
ENSG00000011523	378	438	393	493	429	523
ENSG00000011566	742	862	680	1030	675	292
