gene_id	SRR32635202	SRR32635203	SRR32635199	SRR32635198	SRR32635201	SRR32635200
ENSG00000000003	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	1	0
ENSG00000000419	3390	3052	3678	2901	4657	4169
ENSG00000000457	0	0	0	0	0	0
ENSG00000000460	595	630	581	418	707	575
ENSG00000000938	0	0	0	0	2	0
ENSG00000000971	0	0	0	0	0	0
ENSG00000001036	0	0	0	0	0	0
ENSG00000001084	295	349	354	305	266	405
ENSG00000001167	875	958	718	647	806	658
ENSG00000001460	83	82	75	81	67	68
ENSG00000001461	34	23	30	57	19	27
ENSG00000001497	36	35	47	28	65	38
ENSG00000001561	98	67	68	41	139	78
ENSG00000001617	81	113	118	86	64	98
ENSG00000001626	1	0	0	0	1	0
ENSG00000001629	994	1064	1191	971	1209	1223
ENSG00000001630	394	398	276	159	954	227
ENSG00000001631	0	0	0	0	0	0
ENSG00000002016	151	151	217	187	141	219
ENSG00000002330	29	44	33	35	22	23
ENSG00000002549	1234	1231	1344	1224	1527	1681
ENSG00000002586	1393	1471	1310	1154	1047	1557
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	1	0	0	0	0	0
ENSG00000002745	0	1	3	0	2	0
ENSG00000002746	0	4	0	7	5	3
ENSG00000002822	419	362	498	522	373	446
ENSG00000002834	239	227	339	375	179	316
ENSG00000002919	223	181	173	189	238	207
ENSG00000002933	1	4	5	3	3	3
ENSG00000003056	6027	6881	6340	6339	6662	7555
ENSG00000003096	167	134	83	79	116	101
ENSG00000003137	320	381	357	345	181	387
ENSG00000003147	60	38	70	53	80	99
ENSG00000003249	59	48	96	89	67	116
ENSG00000003393	581	671	492	466	620	631
ENSG00000003400	0	0	1	0	1	0
ENSG00000003402	148	111	87	71	185	120
ENSG00000003436	0	0	0	0	0	0
ENSG00000003509	619	710	562	409	902	585
ENSG00000003756	1219	1236	1066	796	1169	1195
ENSG00000003987	16	14	24	11	31	15
ENSG00000003989	17	10	31	28	18	62
ENSG00000004059	83	73	85	91	64	101
ENSG00000004139	22	12	12	6	14	17
ENSG00000004142	66	47	39	58	72	73
ENSG00000004399	744	626	885	983	688	922
ENSG00000004455	0	0	0	0	0	0
ENSG00000004468	0	0	0	0	0	0
ENSG00000004478	6903	5333	6454	6128	8900	7305
ENSG00000004487	26	32	41	51	16	40
ENSG00000004534	468	409	335	328	318	321
ENSG00000004660	9	18	5	8	15	4
ENSG00000004700	947	899	678	548	1291	656
ENSG00000004766	33	31	45	43	68	41
ENSG00000004776	0	0	0	0	0	0
ENSG00000004777	4	6	5	6	5	6
ENSG00000004779	371	310	355	272	624	467
ENSG00000004799	3	26	10	23	13	19
ENSG00000004809	0	0	0	0	0	0
ENSG00000004838	1	1	0	3	4	1
ENSG00000004846	2	4	1	0	3	0
ENSG00000004848	0	1	0	0	1	0
ENSG00000004864	0	0	0	0	0	0
ENSG00000004866	449	463	370	252	846	373
ENSG00000004897	1147	1055	1128	1063	1207	1069
ENSG00000004939	0	0	1	0	0	0
ENSG00000004948	63	42	135	101	388	254
ENSG00000004961	563	553	521	511	840	777
ENSG00000004975	136	118	153	139	108	171
ENSG00000005001	30	15	19	52	36	30
ENSG00000005007	0	0	0	0	0	0
ENSG00000005020	6	0	3	0	7	1
ENSG00000005022	3850	3282	3776	3183	4129	4457
ENSG00000005059	346	290	292	229	730	284
ENSG00000005073	7	3	1	0	9	1
ENSG00000005100	31	45	39	54	46	63
ENSG00000005102	5	1	8	6	2	13
ENSG00000005108	0	0	0	0	0	0
ENSG00000005156	194	205	173	190	148	187
ENSG00000005175	1554	1485	1311	1025	2403	1315
ENSG00000005187	2	1	8	11	5	2
ENSG00000005189	48	29	47	34	26	72
ENSG00000005194	46	40	40	34	75	49
ENSG00000005206	9	10	5	12	2	11
ENSG00000005238	175	188	143	114	109	139
ENSG00000005243	38	25	32	35	20	12
ENSG00000005249	65	54	72	48	111	46
ENSG00000005302	443	465	439	356	528	352
