gene_id	SRR32635217	SRR32635221	SRR32635219	SRR32635218	SRR32635220	SRR32635216
ENSG00000000003	0	0	0	0	0	0
ENSG00000000005	0	0	0	5	0	8
ENSG00000000419	1006	2750	2628	537	2316	641
ENSG00000000457	0	0	0	0	0	0
ENSG00000000460	285	434	565	115	466	85
ENSG00000000938	0	0	0	1	0	1
ENSG00000000971	0	0	0	0	0	0
ENSG00000001036	0	0	0	0	0	0
ENSG00000001084	152	179	218	58	261	34
ENSG00000001167	675	881	896	186	981	180
ENSG00000001460	80	113	99	19	122	29
ENSG00000001461	102	50	46	91	62	80
ENSG00000001497	68	47	62	28	64	35
ENSG00000001561	19	23	55	12	36	3
ENSG00000001617	157	125	113	163	107	179
ENSG00000001626	2	0	0	0	0	1
ENSG00000001629	519	1033	934	94	964	95
ENSG00000001630	41	228	301	16	147	37
ENSG00000001631	0	0	0	0	0	0
ENSG00000002016	109	195	176	16	179	32
ENSG00000002330	121	47	49	118	54	128
ENSG00000002549	1641	1434	1217	915	1718	768
ENSG00000002586	412	1298	1412	168	973	437
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	0	0	0	0	0	0
ENSG00000002745	0	0	0	0	0	10
ENSG00000002746	3	0	1	0	5	16
ENSG00000002822	1351	597	577	1254	738	1383
ENSG00000002834	1718	834	522	978	951	1350
ENSG00000002919	186	145	186	96	153	143
ENSG00000002933	3	5	6	0	4	0
ENSG00000003056	8806	6648	6516	6292	7568	4120
ENSG00000003096	104	77	106	14	96	36
ENSG00000003137	379	457	472	176	493	108
ENSG00000003147	151	34	44	84	38	150
ENSG00000003249	83	68	61	46	61	58
ENSG00000003393	107	481	474	21	512	35
ENSG00000003400	1	1	0	0	0	10
ENSG00000003402	19	98	130	3	63	55
ENSG00000003436	0	0	0	0	0	0
ENSG00000003509	180	396	499	69	513	66
ENSG00000003756	712	999	952	605	989	605
ENSG00000003987	11	1	9	2	0	3
ENSG00000003989	73	22	9	24	10	9
ENSG00000004059	233	91	113	94	102	280
ENSG00000004139	39	31	23	27	37	40
ENSG00000004142	27	66	60	14	61	4
ENSG00000004399	927	1780	1205	364	1269	247
ENSG00000004455	0	0	0	0	0	5
ENSG00000004468	0	0	0	0	0	5
ENSG00000004478	8628	6967	7072	5816	6751	5965
ENSG00000004487	33	62	37	8	48	2
ENSG00000004534	543	444	367	280	480	809
ENSG00000004660	2	12	7	3	13	0
ENSG00000004700	787	832	857	288	1005	435
ENSG00000004766	46	14	26	32	21	32
ENSG00000004776	2	0	1	1	1	0
ENSG00000004777	10	6	17	3	6	0
ENSG00000004779	186	257	272	92	228	129
ENSG00000004799	13	15	18	0	26	0
ENSG00000004809	0	0	0	0	0	1
ENSG00000004838	0	6	9	3	1	12
ENSG00000004846	0	1	2	0	1	9
ENSG00000004848	7	0	2	0	4	0
ENSG00000004864	0	0	0	0	0	0
ENSG00000004866	67	174	286	28	197	38
ENSG00000004897	489	764	885	172	798	183
ENSG00000004939	0	0	0	0	0	3
ENSG00000004948	71	46	31	41	40	27
ENSG00000004961	443	577	538	213	613	267
ENSG00000004975	218	178	167	69	164	61
ENSG00000005001	136	22	29	90	34	157
ENSG00000005007	0	0	0	0	0	0
ENSG00000005020	1	1	0	0	1	0
ENSG00000005022	2237	3129	3193	1102	3178	1335
ENSG00000005059	27	147	217	12	143	40
ENSG00000005073	1	4	1	0	0	3
ENSG00000005100	82	68	68	18	74	39
ENSG00000005102	10	1	4	0	8	24
ENSG00000005108	0	0	0	0	0	0
ENSG00000005156	294	282	252	170	316	195
ENSG00000005175	514	826	989	139	948	175
ENSG00000005187	2	3	3	4	1	8
ENSG00000005189	28	26	28	12	37	19
ENSG00000005194	42	42	46	14	52	39
ENSG00000005206	20	6	9	14	13	20
ENSG00000005238	290	277	249	71	383	175
ENSG00000005243	7	20	9	4	9	18
ENSG00000005249	6	29	40	2	30	5
ENSG00000005302	221	413	421	120	390	63
ENSG00000005339	600	318	255	250	369	269
ENSG00000005379	5	3	11	2	2	5
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	0	0	0	0	0	0
ENSG00000005436	19	17	22	1	34	4
ENSG00000005448	440	175	244	264	208	244
ENSG00000005469	11	23	16	1	20	5
ENSG00000005471	2	1	5	0	2	6
ENSG00000005483	0	0	0	0	0	0
ENSG00000005486	611	405	457	490	449	383
ENSG00000005513	52	30	20	7	28	19
ENSG00000005700	274	306	283	124	316	78
ENSG00000005801	174	302	321	22	386	61
ENSG00000005810	0	0	0	0	0	0
ENSG00000005812	27	54	122	17	40	25
ENSG00000005844	0	0	0	0	0	10
ENSG00000005882	264	201	174	136	238	137
ENSG00000005884	3999	4620	3854	2220	4598	1738
ENSG00000005889	62	71	87	25	77	30
ENSG00000005893	316	1172	1497	96	1003	169
ENSG00000005961	13	6	9	15	6	6
ENSG00000005981	1	0	0	0	0	11
ENSG00000006007	192	251	351	47	230	53
ENSG00000006015	0	0	0	0	0	0
ENSG00000006016	188	186	133	98	133	121
ENSG00000006025	0	0	0	0	0	0
ENSG00000006042	488	372	417	278	385	132
ENSG00000006047	10	20	32	16	14	7
ENSG00000006059	0	0	0	0	0	0
ENSG00000006062	243	168	109	190	180	149
ENSG00000006071	10	6	9	3	3	8
ENSG00000006118	45	34	27	76	35	63
ENSG00000006125	16	49	54	13	49	15
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	0	0	0	0	0	0
ENSG00000006210	105	161	265	35	197	39
ENSG00000006282	142	152	125	72	149	80
ENSG00000006283	13	18	22	24	23	35
ENSG00000006327	3644	1484	1394	2859	1715	3570
ENSG00000006377	1	0	1	0	3	2
ENSG00000006432	63	36	20	40	31	64
ENSG00000006451	34	55	56	12	54	32
ENSG00000006453	196	133	113	281	159	199
ENSG00000006459	12	21	23	3	32	4
ENSG00000006468	0	0	0	0	0	0
ENSG00000006530	0	0	0	0	0	0
ENSG00000006534	210	128	95	174	133	182
ENSG00000006555	1	1	1	1	0	1
ENSG00000006576	409	1222	1447	110	1280	169
ENSG00000006606	0	0	0	0	0	0
ENSG00000006607	19	8	25	0	23	13
ENSG00000006611	1	1	2	0	2	0
ENSG00000006625	260	237	280	150	271	194
ENSG00000006634	52	111	100	16	61	21
ENSG00000006638	0	1	1	1	0	1
