gene_id	SRR32635205	SRR32635204	SRR32635208	SRR32635206	SRR32635207	SRR32635209
ENSG00000000003	0	0	0	0	0	0
ENSG00000000005	0	0	0	0	0	1
ENSG00000000419	2459	3447	2790	1979	3210	3069
ENSG00000000457	0	0	0	0	0	0
ENSG00000000460	457	488	571	400	548	639
ENSG00000000938	0	1	0	0	0	1
ENSG00000000971	0	0	0	0	0	0
ENSG00000001036	0	0	0	0	0	0
ENSG00000001084	267	140	287	230	218	254
ENSG00000001167	874	686	1121	944	1156	1214
ENSG00000001460	87	61	103	109	97	101
ENSG00000001461	65	26	45	110	25	43
ENSG00000001497	60	61	106	49	70	66
ENSG00000001561	42	87	58	32	49	66
ENSG00000001617	177	88	87	153	112	114
ENSG00000001626	1	0	0	0	0	0
ENSG00000001629	987	1376	1204	822	891	1160
ENSG00000001630	128	581	343	61	293	369
ENSG00000001631	0	0	0	0	0	0
ENSG00000002016	235	165	169	177	190	217
ENSG00000002330	63	12	35	89	41	42
ENSG00000002549	1761	998	1542	1725	1258	1400
ENSG00000002586	1074	1026	1145	953	1404	1555
ENSG00000002587	0	0	0	0	0	0
ENSG00000002726	0	1	0	0	0	0
ENSG00000002745	0	2	0	0	0	0
ENSG00000002746	4	1	8	4	5	2
ENSG00000002822	750	310	523	1045	505	573
ENSG00000002834	1126	233	711	1309	393	619
ENSG00000002919	173	147	177	205	172	214
ENSG00000002933	1	5	2	3	9	4
ENSG00000003056	7920	4796	7142	8329	6622	7504
ENSG00000003096	121	99	134	116	121	134
ENSG00000003137	447	251	380	517	388	468
ENSG00000003147	79	111	37	80	61	46
ENSG00000003249	99	73	53	101	69	89
ENSG00000003393	418	452	605	331	534	689
ENSG00000003400	0	0	1	0	3	3
ENSG00000003402	43	157	92	41	150	130
ENSG00000003436	0	1	0	0	0	0
ENSG00000003509	398	489	638	332	504	625
ENSG00000003756	876	862	993	961	1154	1073
ENSG00000003987	16	33	4	12	11	4
ENSG00000003989	47	27	13	60	22	21
ENSG00000004059	188	91	66	174	102	82
ENSG00000004139	22	16	20	22	30	21
ENSG00000004142	48	48	84	40	56	79
ENSG00000004399	1160	920	1043	1218	720	1400
ENSG00000004455	0	0	0	0	0	0
ENSG00000004468	0	0	0	0	1	0
